Ref,Powertrain_Type,Engine_Ref,Battery_Ref,Combined_Horsepower,Combined_Torque_lbft,Electric_Range_mi,DC_Charge_kW,AC_Charge_kW,Charge_Port
pt-ford-ecoboost-3.5-sho,ICE,ford-ecoboost-3.5-sho,,,,,,,
pt-ford-ecoboost-3.5-f150gen2,ICE,ford-ecoboost-3.5-f150gen2,,,,,,,
pt-ford-ecoboost-3.5-raptor,ICE,ford-ecoboost-3.5-raptor,,,,,,,
pt-ford-ecoboost-2.7-gen1,ICE,ford-ecoboost-2.7-gen1,,,,,,,
pt-ford-ecoboost-2.7-gen2,ICE,ford-ecoboost-2.7-gen2,,,,,,,
pt-ford-ecoboost-2.3-mustang,ICE,ford-ecoboost-2.3-mustang,,,,,,,
pt-ford-ecoboost-2.0-focusst,ICE,ford-ecoboost-2.0-focusst,,,,,,,
pt-chevrolet-lr4-4.8,ICE,chevrolet-lr4-4.8,,,,,,,
pt-chevrolet-lm7-5.3,ICE,chevrolet-lm7-5.3,,,,,,,
pt-chevrolet-l59-5.3,ICE,chevrolet-l59-5.3,,,,,,,
pt-chevrolet-lq4-6.0,ICE,chevrolet-lq4-6.0,,,,,,,
pt-chevrolet-lq9-6.0,ICE,chevrolet-lq9-6.0,,,,,,,
pt-chevrolet-lm4-5.3,ICE,chevrolet-lm4-5.3,,,,,,,
pt-chevrolet-l33-5.3,ICE,chevrolet-l33-5.3,,,,,,,
pt-chevrolet-l98-6.0,ICE,chevrolet-l98-6.0,,,,,,,
pt-chevrolet-l77-6.0-manual,ICE,chevrolet-l77-6.0-manual,,,,,,,
pt-chevrolet-l77-6.0-auto,ICE,chevrolet-l77-6.0-auto,,,,,,,
pt-chevrolet-ly6-6.0,ICE,chevrolet-ly6-6.0,,,,,,,
pt-chevrolet-l96-6.0,ICE,chevrolet-l96-6.0,,,,,,,
pt-chevrolet-lfa-6.0hy,ICE,chevrolet-lfa-6.0hy,,,,,,,
pt-chevrolet-lz1-6.0hy,ICE,chevrolet-lz1-6.0hy,,,,,,,
pt-chevrolet-ly2-4.8,ICE,chevrolet-ly2-4.8,,,,,,,
pt-chevrolet-l20-4.8,ICE,chevrolet-l20-4.8,,,,,,,
pt-chevrolet-lh6-5.3,ICE,chevrolet-lh6-5.3,,,,,,,
pt-chevrolet-ls4-5.3,ICE,chevrolet-ls4-5.3,,,,,,,
pt-chevrolet-ly5-5.3,ICE,chevrolet-ly5-5.3,,,,,,,
pt-chevrolet-lc9-5.3,ICE,chevrolet-lc9-5.3,,,,,,,
pt-chevrolet-lmg-5.3,ICE,chevrolet-lmg-5.3,,,,,,,
pt-chevrolet-l86-6.2,ICE,chevrolet-l86-6.2,,,,,,,
pt-chevrolet-l87-6.2,ICE,chevrolet-l87-6.2,,,,,,,
pt-chevrolet-l83-5.3,ICE,chevrolet-l83-5.3,,,,,,,
pt-chevrolet-l8b-5.3,ICE,chevrolet-l8b-5.3,,,,,,,
pt-chevrolet-l82-5.3,ICE,chevrolet-l82-5.3,,,,,,,
pt-chevrolet-l84-5.3,ICE,chevrolet-l84-5.3,,,,,,,
pt-chevrolet-lt5-6.2sc,ICE,chevrolet-lt5-6.2sc,,,,,,,
pt-chevrolet-lv3-4.3,ICE,chevrolet-lv3-4.3,,,,,,,
pt-chevrolet-lv1-4.3,ICE,chevrolet-lv1-4.3,,,,,,,
pt-chevrolet-l8t-6.6,ICE,chevrolet-l8t-6.6,,,,,,,
