Ref,Body_Style,Doors,Cab_Config,Bed_Length_in,Bed_Volume_cuft,Roof_Height,Wheelbase_in,Length_in,Width_in,Height_in,Track_Front_in,Track_Rear_in,Ground_Clearance_in,Approach_Angle_deg,Departure_Angle_deg,Breakover_Angle_deg,Drag_Coefficient,Cargo_Volume_cuft,Cargo_Volume_Max_cuft,Fuel_Capacity_gal,Seating_Rows
nhtsa-acura-rlx-sedan-4dr-112-2-2,Sedan,4,,,,,112.2,197.6,74.8,57.5,64.2,64.2,,,,,,,,,
nhtsa-acura-rsx-coupe-2dr-101-2,Coupe,2,,,,,101.2,172.4,68.1,55.1,58.3,58.3,,,,,,,,,
nhtsa-acura-tl-body-107-9,,,,,,,107.9,189.4,75.6,56.7,62.2,61.8,,,,,,,,,
nhtsa-acura-tl-sedan-4dr-107-9,Sedan,4,,,,,107.9,189.4,72.4,56.7,61.8,61.8,,,,,,,,,
nhtsa-acura-tl-sedan-4dr-109-4,Sedan,4,,,,,109.4,195.7,74,57.1,63,63.4,,,,,,,,,
nhtsa-acura-tl-sedan-4dr-109-4-2,Sedan,4,,,,,109.4,194.1,74,57.1,63.4,63.8,,,,,,,,,
nhtsa-acura-tlx-sedan-4dr-109-4,Sedan,4,,,,,109.4,190.2,72.8,57.1,63,63,,,,,,,,,
nhtsa-acura-tlx-sedan-4dr-109-4-2,Sedan,4,,,,,109.4,190.6,72.8,57.1,63,63,,,,,,,,,
nhtsa-acura-tlx-sedan-4dr-113,Sedan,4,,,,,113,194.5,75.2,56.3,64.2,64.6,,,,,,,,,
nhtsa-acura-tsx-sedan-4dr-104-7,Sedan,4,,,,,104.7,183.1,69.3,57.5,59.4,59.1,,,,,,,,,
nhtsa-acura-tsx-sedan-4dr-106-7,Sedan,4,,,,,106.7,186.2,72.4,56.7,60.2,62.2,,,,,,,,,
nhtsa-acura-tsx-sedan-4dr-106-7-2,Sedan,4,,,,,106.7,186.2,72.4,56.7,62.2,62.2,,,,,,,,,
nhtsa-acura-vigor-sedan-4dr-110-2,Sedan,4,,,,,110.2,190.2,70.1,53.9,,,,,,,,,,,
nhtsa-acura-zdx-suv-4dr-108-3,SUV,4,,,,,108.3,192.1,78.3,63,67.7,67.3,,,,,,,,,
