Ref,Body_Style,Doors,Cab_Config,Bed_Length_in,Bed_Volume_cuft,Roof_Height,Wheelbase_in,Length_in,Width_in,Height_in,Track_Front_in,Track_Rear_in,Ground_Clearance_in,Approach_Angle_deg,Departure_Angle_deg,Breakover_Angle_deg,Drag_Coefficient,Cargo_Volume_cuft,Cargo_Volume_Max_cuft,Fuel_Capacity_gal,Seating_Rows
nhtsa-dodge-dakota-body-124,,,,,,,124,204.3,71.3,,,,,,,,,,,,
nhtsa-dodge-dakota-body-124-2,,,,,,,124,204.3,71.3,62.6,,,,,,,,,,,
nhtsa-dodge-dakota-body-124-3,,,,,,,124,204.3,71.3,64.2,,,,,,,,,,,
nhtsa-dodge-dakota-body-124-4,,,,,,,124,207.5,69.7,64.2,,,,,,,,,,,
nhtsa-dodge-dakota-body-124-5,,,,,,,124,207.5,69.7,67.3,,,,,,,,,,,
nhtsa-dodge-dakota-pickup-extended-131-1,Pickup,,Extended,,,,131.1,205.1,69.7,64.2,58.7,59.4,,,,,,,,,
nhtsa-dodge-dakota-pickup-extended-131-1-2,Pickup,,Extended,,,,131.1,205.1,69.7,64.2,,,,,,,,,,,
nhtsa-dodge-dakota-pickup-extended-131-1-3,Pickup,,Extended,,,,131.1,207.9,68.5,65,,,,,,,,,,,
nhtsa-dodge-dakota-pickup-extended-131-1-4,Pickup,,Extended,,,,131.1,207.9,68.5,67.7,,,,,,,,,,,
nhtsa-dodge-dakota-pickup-extended-131-1-5,Pickup,,Extended,,,,131.1,218.9,71.7,68.5,63,63,,,,,,,,,
nhtsa-dodge-dakota-pickup-extended-long-131-1,Pickup,,Extended,,,,131.1,209.4,71.7,65.4,60.6,61.4,,,,,,,,,
nhtsa-dodge-dakota-pickup-extended-long-131-1-2,Pickup,,Extended,,,,131.1,209.4,71.7,68.1,60.6,61.4,,,,,,,,,
nhtsa-dodge-dakota-pickup-extended-long-131-1-3,Pickup,,Extended,,,,131.1,209.8,71.7,65,61,61.4,,,,,,,,,
nhtsa-dodge-dakota-pickup-extended-long-131-1-4,Pickup,,Extended,,,,131.1,209.8,71.7,67.3,61.4,61.4,,,,,,,,,
nhtsa-dodge-dakota-pickup-extended-short-131-1,Pickup,,Extended,,,,131.1,208.3,69.7,65.7,58.7,59.4,,,,,,,,,
nhtsa-dodge-dakota-pickup-extended-short-131-1-2,Pickup,,Extended,,,,131.1,208.3,69.7,68.5,60.6,59.4,,,,,,,,,
nhtsa-dodge-dakota-pickup-extended-short-131-1-3,Pickup,,Extended,,,,131.1,215,71.7,65.7,60.6,61.4,,,,,,,,,
nhtsa-dodge-dakota-pickup-extended-short-131-1-4,Pickup,,Extended,,,,131.1,215,71.7,68.1,60.6,61.4,,,,,,,,,
nhtsa-dodge-dakota-pickup-quad-130-3,Pickup,,Quad,,,,130.3,218.5,71.7,68.9,63,63,,,,,,,,,
nhtsa-dodge-dakota-pickup-quad-131-5,Pickup,,Quad,,,,131.5,218.9,71.7,68.9,63,63,,,,,,,,,
nhtsa-dodge-dakota-pickup-quad-short-131-1,Pickup,,Quad,,,,131.1,209.4,71.7,66.1,60.6,61.4,,,,,,,,,
nhtsa-dodge-dakota-pickup-quad-short-131-1-2,Pickup,,Quad,,,,131.1,209.4,71.7,68.9,60.6,61.4,,,,,,,,,
nhtsa-dodge-dakota-pickup-regular-long-112-2,Pickup,,Regular,,,,112.2,190.6,71.7,68.1,60.6,61.4,,,,,,,,,
nhtsa-dodge-dakota-pickup-regular-long-112-2-2,Pickup,,Regular,,,,112.2,190.9,71.7,65,61,61.4,,,,,,,,,
nhtsa-dodge-dakota-pickup-regular-long-112-2-3,Pickup,,Regular,,,,112.2,190.9,71.7,67.3,61.4,61.4,,,,,,,,,
nhtsa-dodge-dakota-pickup-regular-long-124,Pickup,,Regular,,,,124,207.5,69.7,65.4,58.7,59.4,,,,,,,,,
nhtsa-dodge-dakota-pickup-regular-long-124-2,Pickup,,Regular,,,,124,207.5,69.7,67.3,60.6,59.4,,,,,,,,,
nhtsa-dodge-dakota-pickup-regular-long-124-3,Pickup,,Regular,,,,124,215.4,71.7,65.4,60.6,61.4,,,,,,,,,
nhtsa-dodge-dakota-pickup-regular-short-111-8,Pickup,,Regular,,,,111.8,195.7,71.7,65.7,60.6,61.4,,,,,,,,,
nhtsa-dodge-dakota-pickup-regular-short-111-8-2,Pickup,,Regular,,,,111.8,195.7,71.7,68.1,61.4,61.8,,,,,,,,,
nhtsa-dodge-dakota-pickup-regular-short-112-2,Pickup,,Regular,,,,112.2,189.4,69.7,65.4,58.7,59.4,,,,,,,,,
nhtsa-dodge-dakota-pickup-regular-short-112-2-2,Pickup,,Regular,,,,112.2,189.4,69.7,67.3,60.6,59.4,,,,,,,,,
nhtsa-dodge-dart-sedan-4dr-106-7,Sedan,4,,,,,106.7,184.3,72,57.9,61.8,62.2,,,,,,,,,
nhtsa-dodge-diplomat-body-112-6,,,,,,,112.6,205.5,74.4,55.5,,,,,,,,,,,
nhtsa-dodge-diplomat-body-112-6-2,,,,,,,112.6,205.9,73.2,55.5,,,,,,,,,,,
nhtsa-dodge-diplomat-body-2dr-112-6,,2,,,,,112.6,205.5,74,53.1,,,,,,,,,,,
nhtsa-dodge-diplomat-body-4dr-112-6,,4,,,,,112.6,205.5,74,55.1,,,,,,,,,,,
nhtsa-dodge-diplomat-sedan-4dr-112-6,Sedan,4,,,,,112.6,204.7,72.4,55.1,,,,,,,,,,,
nhtsa-dodge-diplomat-wagon-112-6,Wagon,,,,,,112.6,205.9,74,55.1,,,,,,,,,,,
nhtsa-dodge-durango-body-115-7,,,,,,,115.7,193.3,71.7,72.4,62.2,61.4,,,,,,,,,
nhtsa-dodge-durango-body-115-7-2,,,,,,,115.7,193.7,71.7,70.9,60.6,61.8,,,,,,,,,
nhtsa-dodge-durango-body-115-7-3,,,,,,,115.7,193.7,71.7,72.4,62.2,61.4,,,,,,,,,
nhtsa-dodge-durango-suv-116-1,SUV,,,,,,116.1,193.7,71.7,72,61.8,61.8,,,,,,,,,
nhtsa-dodge-durango-suv-118-1,SUV,,,,,,118.1,201.2,76,74.4,64.2,64.2,,,,,,,,,
nhtsa-dodge-durango-suv-4dr-118-1,SUV,4,,,,,118.1,201.2,76,73.2,64.2,64.2,,,,,,,,,
nhtsa-dodge-durango-suv-4dr-119-3,SUV,4,,,,,119.3,202,76,73.6,64.2,64.2,,,,,,,,,
nhtsa-dodge-durango-suv-4dr-119-7,SUV,4,,,,,119.7,200,76,70.9,63.8,64.2,,,,,,,,,
nhtsa-dodge-grand-caravan-body-119-3,,,,,,,119.3,191.7,70.9,65,,,,,,,,,,,
nhtsa-dodge-grand-caravan-body-119-3-2,,,,,,,119.3,190.6,70.9,65,,,,,,,,,,,
nhtsa-dodge-grand-caravan-body-119-3-3,,,,,,,119.3,200.4,78.7,68.9,63,64.2,,,,,,,,,
nhtsa-dodge-grand-caravan-van-4dr-121-3,Van,4,,,,,121.3,202.4,76.8,68.9,65.4,64.6,,,,,,,,,
nhtsa-dodge-grand-caravan-van-4dr-121-3-2,Van,4,,,,,121.3,202.4,78.7,67.7,65.7,65,,,,,,,,,
nhtsa-dodge-grand-caravan-wagon-119-3,Wagon,,,,,,119.3,190.6,72,65,59.8,61.4,,,,,,,,,
nhtsa-dodge-grand-caravan-wagon-119-3-2,Wagon,,,,,,119.3,192.9,72,67.7,,,,,,,,,,,
nhtsa-dodge-grand-caravan-wagon-119-3-3,Wagon,,,,,,119.3,190.6,72,65,,,,,,,,,,,
nhtsa-dodge-grand-caravan-wagon-3dr-119-3,Wagon,3,,,,,119.3,192.9,72,65,59.8,62.2,,,,,,,,,
nhtsa-dodge-hornet-suv-4dr-103-9,SUV,4,,,,,103.9,178.3,72.4,63.8,62.2,61.8,,,,,,,,,
nhtsa-dodge-journey-body-4dr-113-8,,4,,,,,113.8,192.5,72,66.9,61.8,62.2,,,,,,,,,
nhtsa-dodge-journey-suv-4dr-113-8,SUV,4,,,,,113.8,192.5,72,66.9,61.8,62.2,,,,,,,,,
nhtsa-dodge-lancer-body-103-1,,,,,,,103.1,180.3,68.5,53.1,,,,,,,,,,,
nhtsa-dodge-lancer-body-4dr-103-1,,4,,,,,103.1,180.3,68.5,52.4,,,,,,,,,,,
nhtsa-dodge-lancer-hatchback-4dr-103-1,Hatchback,4,,,,,103.1,180.3,68.5,53.1,,,,,,,,,,,
nhtsa-dodge-magnum-srt8-wagon-4dr-119-7,Wagon,4,,,,,119.7,197.2,74,58.3,63,63,,,,,,,,,
nhtsa-dodge-magnum-wagon-4dr-119-7,Wagon,4,,,,,119.7,197.2,74,58.3,63,63,,,,,,,,,
nhtsa-dodge-mini-ram-van-112-2,Van,,,,,,112.2,176,70.9,66.5,,,,,,,,,,,
nhtsa-dodge-mini-ram-van-118-9,Van,,,,,,118.9,190.6,70.9,69.7,,,,,,,,,,,
nhtsa-dodge-mirada-body-112-6,,,,,,,112.6,209.4,72.8,53.1,,,,,,,,,,,
nhtsa-dodge-neon-coupe-2dr-103-9,Coupe,2,,,,,103.9,171.7,67.3,54.7,57.5,57.9,,,,,,,,,
nhtsa-dodge-neon-coupe-2dr-103-9-2,Coupe,2,,,,,103.9,171.7,67.3,54.7,57.5,57.5,,,,,,,,,
nhtsa-dodge-neon-sedan-4dr-103-9,Sedan,4,,,,,103.9,172,67.3,54.7,57.5,57.5,,,,,,,,,
nhtsa-dodge-neon-sedan-4dr-103-9-2,Sedan,4,,,,,103.9,172,67.3,52.8,57.5,57.5,,,,,,,,,
nhtsa-dodge-neon-sedan-4dr-103-9-3,Sedan,4,,,,,103.9,171.7,67.3,54.7,57.5,57.5,,,,,,,,,
nhtsa-dodge-nitro-suv-4dr-108-7,SUV,4,,,,,108.7,178.7,73.2,69.7,61.4,61,,,,,,,,,
nhtsa-dodge-omni-body-2dr-96-5,,2,,,,,96.5,174,66.5,51.2,,,,,,,,,,,
nhtsa-dodge-omni-body-4dr-99-6,,4,,,,,99.6,164.6,65.7,53.5,,,,,,,,,,,
nhtsa-dodge-omni-body-5dr-99-2,,5,,,,,99.2,162.6,65.7,53.1,,,,,,,,,,,
nhtsa-dodge-omni-body-99-2,,,,,,,99.2,165,65.7,53.1,,,,,,,,,,,
nhtsa-dodge-omni-body-99-2-2,,,,,,,99.2,162.2,66.1,53.1,,,,,,,,,,,
nhtsa-dodge-omni-body-99-2-3,,,,,,,99.2,163.4,66.1,53.1,,,,,,,,,,,
nhtsa-dodge-omni-hatchback-4dr-99-2,Hatchback,4,,,,,99.2,163.4,66.1,53.1,,,,,,,,,,,
nhtsa-dodge-raider-body-92-5,,,,,,,92.5,157.5,66.1,,,,,,,,,,,,
nhtsa-dodge-ram-1500-body-127-2,,,,,,,127.2,228.7,78.7,79.9,66.9,66.5,,,,,,,,,
nhtsa-dodge-ram-1500-body-127-2-2,,,,,,,127.2,228.7,78.7,79.5,66.9,65.7,,,,,,,,,
nhtsa-dodge-ram-1500-body-long-135,,,,,,,135,220.1,78.3,72,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-1500-body-long-135-2,,,,,,,135,220.1,78.3,76,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-1500-body-short-118-9,,,,,,,118.9,199.2,78.3,72,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-1500-body-short-118-9-2,,,,,,,118.9,199.2,78.3,76,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-crew-140-2,Pickup,,Crew,,,,140.2,226,79.1,74,69.3,68.1,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-crew-140-2-2,Pickup,,Crew,,,,140.2,226,79.1,74.8,69.3,68.1,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-extended-long-154-7,Pickup,,Extended,,,,154.7,240.2,78.3,71.7,66.1,66.9,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-extended-long-154-7-2,Pickup,,Extended,,,,154.7,240.2,78.3,74.4,66.1,66.9,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-extended-short-139,Pickup,,Extended,,,,139,220.1,78.3,71.7,66.1,66.9,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-extended-short-139-2,Pickup,,Extended,,,,139,220.1,78.3,74.4,66.1,66.9,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-mega-short-160-6,Pickup,,Mega,,,,160.6,245.7,79.5,75.2,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-mega-short-160-6-2,Pickup,,Mega,,,,160.6,245.7,79.5,79.1,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-quad-140-2,Pickup,,Quad,,,,140.2,226,79.1,74,68.9,68.1,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-quad-140-2-2,Pickup,,Quad,,,,140.2,226,79.1,74.8,68.9,68.1,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-quad-long-154-7,Pickup,,Quad,,,,154.7,240.2,79.5,71.7,66.5,66.9,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-quad-long-154-7-2,Pickup,,Quad,,,,154.7,240.2,79.5,74.4,68.5,66.9,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-quad-long-154-7-3,Pickup,,Quad,,,,154.7,240.2,79.1,72.8,66.5,66.9,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-quad-long-154-7-4,Pickup,,Quad,,,,154.7,240.2,79.1,76.8,68.5,66.9,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-quad-long-160-6,Pickup,,Quad,,,,160.6,246.5,79.9,74.4,68.1,68.1,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-quad-long-160-6-2,Pickup,,Quad,,,,160.6,246.5,79.9,76.4,68.1,68.1,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-quad-long-160-6-3,Pickup,,Quad,,,,160.6,246.9,79.5,73.6,68.9,68.5,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-quad-long-160-6-4,Pickup,,Quad,,,,160.6,246.9,79.5,79.1,68.9,68.5,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-quad-short-139,Pickup,,Quad,,,,139,220.1,79.5,71.7,66.5,66.9,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-quad-short-139-2,Pickup,,Quad,,,,139,220.1,79.5,74.8,68.5,66.9,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-quad-short-139-3,Pickup,,Quad,,,,139,220.1,79.1,71.7,67.7,66.9,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-quad-short-139-4,Pickup,,Quad,,,,139,220.1,79.1,74.8,68.5,66.9,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-quad-short-140-6,Pickup,,Quad,,,,140.6,224.4,79.9,76.8,68.1,67.7,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-quad-short-140-6-2,Pickup,,Quad,,,,140.6,224.8,79.5,73.6,68.9,68.5,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-quad-short-140-6-3,Pickup,,Quad,,,,140.6,224.8,79.5,79.1,68.9,68.5,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-regular-120-1,Pickup,,Regular,,,,120.1,205.9,79.1,73.2,69.3,68.1,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-regular-140-2,Pickup,,Regular,,,,140.2,228,79.1,73.2,69.3,68.1,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-regular-140-2-2,Pickup,,Regular,,,,140.2,228,79.1,74,69.3,68.1,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-regular-long-135,Pickup,,Regular,,,,135,220.1,78.3,72,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-regular-long-135-2,Pickup,,Regular,,,,135,220.1,78.3,76,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-regular-long-140-6,Pickup,,Regular,,,,140.6,225.6,79.9,74,68.1,67.7,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-regular-long-140-6-2,Pickup,,Regular,,,,140.6,226.8,79.5,73.6,68.9,68.5,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-regular-long-140-6-3,Pickup,,Regular,,,,140.6,226.8,79.5,78.7,68.9,68.5,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-regular-short-118-9,Pickup,,Regular,,,,118.9,199.2,78.3,72,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-regular-short-118-9-2,Pickup,,Regular,,,,118.9,199.2,78.3,76,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-regular-short-120-5,Pickup,,Regular,,,,120.5,201.2,79.9,76.8,68.1,67.3,,,,,,,,,
nhtsa-dodge-ram-1500-pickup-regular-short-120-5-2,Pickup,,Regular,,,,120.5,205.1,79.5,73.6,68.9,68.5,,,,,,,,,
nhtsa-dodge-ram-1500-van-109-1,Van,,,,,,109.1,180.7,79.1,78,,,,,,,,,,,
nhtsa-dodge-ram-1500-van-109-4,Van,,,,,,109.4,186.6,78.7,80.3,66.9,66.5,,,,,,,,,
nhtsa-dodge-ram-1500-van-127-2,Van,,,,,,127.2,198.4,79.1,78.3,,,,,,,,,,,
nhtsa-dodge-ram-1500-van-127-2-2,Van,,,,,,127.2,202.8,78.7,81.5,66.9,63.4,,,,,,,,,
nhtsa-dodge-ram-1500-wagon-109-1,Wagon,,,,,,109.1,180.7,79.1,78,,,,,,,,,,,
nhtsa-dodge-ram-1500-wagon-109-4,Wagon,,,,,,109.4,186.6,78.7,80.3,66.9,66.5,,,,,,,,,
nhtsa-dodge-ram-1500-wagon-127-2,Wagon,,,,,,127.2,202.8,78.7,79.9,66.5,63.4,,,,,,,,,
nhtsa-dodge-ram-2500-body-127-2,,,,,,,127.2,224.4,79.1,79.5,,,,,,,,,,,
nhtsa-dodge-ram-2500-body-127-2-2,,,,,,,127.2,228.7,78.7,81.1,66.9,63.4,,,,,,,,,
nhtsa-dodge-ram-2500-body-127-2-3,,,,,,,127.2,228.7,78.7,81.5,66.5,63.4,,,,,,,,,
nhtsa-dodge-ram-2500-body-long-135,,,,,,,135,220.1,78.3,73.6,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-2500-body-long-135-2,,,,,,,135,220.1,78.3,77.6,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-2500-pickup-crew-long-169-7,Pickup,,Crew,,,,169.7,256.7,79.5,,68.9,68.5,,,,,,,,,
nhtsa-dodge-ram-2500-pickup-crew-short-149-2,Pickup,,Crew,,,,149.2,234.3,79.5,,68.9,68.5,,,,,,,,,
nhtsa-dodge-ram-2500-pickup-extended-long-154-7,Pickup,,Extended,,,,154.7,240.2,78.3,72.8,66.1,66.9,,,,,,,,,
nhtsa-dodge-ram-2500-pickup-extended-long-154-7-2,Pickup,,Extended,,,,154.7,240.2,78.3,77.2,66.1,66.9,,,,,,,,,
nhtsa-dodge-ram-2500-pickup-extended-short-139,Pickup,,Extended,,,,139,220.1,79.5,71.7,66.9,66.9,,,,,,,,,
nhtsa-dodge-ram-2500-pickup-mega-short-160-6,Pickup,,Mega,,,,160.6,245.7,79.5,,68.9,68.5,,,,,,,,,
nhtsa-dodge-ram-2500-pickup-quad-long-154-7,Pickup,,Quad,,,,154.7,240.2,79.5,72.8,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-2500-pickup-quad-long-154-7-2,Pickup,,Quad,,,,154.7,240.2,79.5,77.2,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-2500-pickup-quad-long-154-7-3,Pickup,,Quad,,,,154.7,240.2,79.1,72.8,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-2500-pickup-quad-long-154-7-4,Pickup,,Quad,,,,154.7,240.2,79.1,76.8,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-2500-pickup-quad-long-155-1,Pickup,,Quad,,,,155.1,240.2,79.1,72.8,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-2500-pickup-quad-long-160-6,Pickup,,Quad,,,,160.6,246.5,79.9,74.4,68.1,68.1,,,,,,,,,
nhtsa-dodge-ram-2500-pickup-quad-long-160-6-2,Pickup,,Quad,,,,160.6,246.5,79.9,76.4,68.1,68.1,,,,,,,,,
nhtsa-dodge-ram-2500-pickup-quad-short-139,Pickup,,Quad,,,,139,220.1,79.5,72.8,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-2500-pickup-quad-short-139-2,Pickup,,Quad,,,,139,220.1,79.5,77.2,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-2500-pickup-quad-short-139-3,Pickup,,Quad,,,,139,220.1,79.1,72.8,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-2500-pickup-quad-short-139-4,Pickup,,Quad,,,,139,220.1,79.1,77.2,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-2500-pickup-quad-short-140-6,Pickup,,Quad,,,,140.6,224.4,79.9,76.8,68.1,67.7,,,,,,,,,
nhtsa-dodge-ram-2500-pickup-regular-long-135,Pickup,,Regular,,,,135,220.1,78.3,73.6,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-2500-pickup-regular-long-135-2,Pickup,,Regular,,,,135,220.1,78.3,77.6,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-2500-pickup-regular-long-140-2,Pickup,,Regular,,,,140.2,227.2,79.5,,68.9,68.5,,,,,,,,,
nhtsa-dodge-ram-2500-pickup-regular-long-140-6,Pickup,,Regular,,,,140.6,225.6,79.9,74,68.1,67.7,,,,,,,,,
nhtsa-dodge-ram-2500-van-109-1,Van,,,,,,109.1,180.7,79.1,79.1,,,,,,,,,,,
nhtsa-dodge-ram-2500-van-127-2,Van,,,,,,127.2,198.4,79.1,79.1,,,,,,,,,,,
nhtsa-dodge-ram-2500-van-127-2-2,Van,,,,,,127.2,202.8,78.7,81.1,66.9,63.4,,,,,,,,,
nhtsa-dodge-ram-2500-wagon-127-2,Wagon,,,,,,127.2,198.4,79.1,79.1,,,,,,,,,,,
nhtsa-dodge-ram-2500-wagon-127-2-2,Wagon,,,,,,127.2,202.8,78.7,81.1,66.9,63.4,,,,,,,,,
nhtsa-dodge-ram-3500-body-127-2,,,,,,,127.2,224.4,79.1,81.5,,,,,,,,,,,
nhtsa-dodge-ram-3500-body-127-2-2,,,,,,,127.2,228.7,78.7,82.3,66.9,63.4,,,,,,,,,
nhtsa-dodge-ram-3500-body-long-135,,,,,,,135,220.1,93.7,73.6,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-3500-body-long-135-2,,,,,,,135,220.1,93.7,78.7,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-3500-pickup-crew-long-169-7,Pickup,,Crew,,,,169.7,256.7,96.1,,68.9,,,,,,,,,,
nhtsa-dodge-ram-3500-pickup-crew-short-149-2,Pickup,,Crew,,,,149.2,234.3,79.5,,68.9,68.5,,,,,,,,,
nhtsa-dodge-ram-3500-pickup-extended-long-154-7,Pickup,,Extended,,,,154.7,240.2,93.7,72.8,66.1,66.9,,,,,,,,,
nhtsa-dodge-ram-3500-pickup-extended-long-154-7-2,Pickup,,Extended,,,,154.7,240.2,93.7,77.2,66.1,66.9,,,,,,,,,
nhtsa-dodge-ram-3500-pickup-extended-long-154-7-3,Pickup,,Extended,,,,154.7,240.2,93.7,72.8,66.9,73.2,,,,,,,,,
nhtsa-dodge-ram-3500-pickup-extended-long-155-1,Pickup,,Extended,,,,155.1,240.2,93.7,77.2,66.9,73.2,,,,,,,,,
nhtsa-dodge-ram-3500-pickup-mega-short-160-6,Pickup,,Mega,,,,160.6,245.7,96.1,,68.9,,,,,,,,,,
nhtsa-dodge-ram-3500-pickup-quad-long-154-7,Pickup,,Quad,,,,154.7,240.2,93.7,72.8,68.9,72.8,,,,,,,,,
nhtsa-dodge-ram-3500-pickup-quad-long-154-7-2,Pickup,,Quad,,,,154.7,240.2,93.7,77.2,68.9,72.8,,,,,,,,,
nhtsa-dodge-ram-3500-pickup-quad-long-160-6,Pickup,,Quad,,,,160.6,246.5,79.9,74.4,68.1,68.1,,,,,,,,,
nhtsa-dodge-ram-3500-pickup-quad-long-160-6-2,Pickup,,Quad,,,,160.6,246.5,79.9,76.4,68.1,68.1,,,,,,,,,
nhtsa-dodge-ram-3500-pickup-quad-long-161,Pickup,,Quad,,,,161,246.1,96.1,78,69.3,76,,,,,,,,,
nhtsa-dodge-ram-3500-pickup-quad-short-140-6,Pickup,,Quad,,,,140.6,224.4,79.9,76.8,68.1,67.7,,,,,,,,,
nhtsa-dodge-ram-3500-pickup-quad-short-140-6-2,Pickup,,Quad,,,,140.6,224.4,96.1,76.8,68.1,67.7,,,,,,,,,
nhtsa-dodge-ram-3500-pickup-quad-short-140-6-3,Pickup,,Quad,,,,140.6,224.4,96.1,76.8,68.1,76,,,,,,,,,
nhtsa-dodge-ram-3500-pickup-regular-long-134-6,Pickup,,Regular,,,,134.6,220.1,93.7,73.2,66.9,73.2,,,,,,,,,
nhtsa-dodge-ram-3500-pickup-regular-long-134-6-2,Pickup,,Regular,,,,134.6,220.1,93.7,78.7,66.9,73.2,,,,,,,,,
nhtsa-dodge-ram-3500-pickup-regular-long-135,Pickup,,Regular,,,,135,220.1,93.7,73.6,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-3500-pickup-regular-long-135-2,Pickup,,Regular,,,,135,220.1,93.7,78.7,68.5,68.1,,,,,,,,,
nhtsa-dodge-ram-3500-pickup-regular-long-140-2,Pickup,,Regular,,,,140.2,227.2,96.1,,68.9,,,,,,,,,,
nhtsa-dodge-ram-3500-pickup-regular-long-140-6,Pickup,,Regular,,,,140.6,225.6,96.1,74,68.1,67.7,,,,,,,,,
nhtsa-dodge-ram-3500-pickup-regular-long-140-6-2,Pickup,,Regular,,,,140.6,225.6,96.1,74,68.1,76,,,,,,,,,
nhtsa-dodge-ram-3500-van-127-2,Van,,,,,,127.2,198.4,79.1,80.7,,,,,,,,,,,
nhtsa-dodge-ram-3500-van-127-2-2,Van,,,,,,127.2,202.8,78.7,81.1,66.9,63.4,,,,,,,,,
nhtsa-dodge-ram-3500-wagon-127-2,Wagon,,,,,,127.2,198.4,79.1,80.7,,,,,,,,,,,
nhtsa-dodge-ram-3500-wagon-127-2-2,Wagon,,,,,,127.2,202.8,78.7,81.1,66.9,63.4,,,,,,,,,
nhtsa-dodge-ram-3500-wagon-127-2-3,Wagon,,,,,,127.2,202.8,78.7,83.1,66.5,63.4,,,,,,,,,
nhtsa-dodge-ram-50-body-105-1,,,,,,,105.1,176.8,65,60.6,,,,,,,,,,,
nhtsa-dodge-ram-50-body-105-1-2,,,,,,,105.1,,65,60.6,,,,,,,,,,,
nhtsa-dodge-ram-50-body-105-1-3,,,,,,,105.1,176.8,65.4,61,55.5,55.1,,,,,,,,,
nhtsa-dodge-ram-50-body-105-1-4,,,,,,,105.1,177.2,65.4,58.7,,,,,,,,,,,
nhtsa-dodge-ram-50-body-116-1,,,,,,,116.1,193.7,65,60.6,,,,,,,,,,,
nhtsa-dodge-ram-50-body-116-1-2,,,,,,,116.1,,65,60.6,,,,,,,,,,,
nhtsa-dodge-ram-50-pickup-116-1,Pickup,,,,,,116.1,,65,60.6,,,,,,,,,,,
nhtsa-dodge-ramcharger-body-105-5,,,,,,,105.5,183.9,79.5,68.1,,,,,,,,,,,
nhtsa-dodge-ramcharger-body-105-5-2,,,,,,,105.5,183.9,79.5,73.2,,,,,,,,,,,
nhtsa-dodge-ramcharger-body-105-9,,,,,,,105.9,184.3,79.1,70.1,,,,,,,,,,,
nhtsa-dodge-ramcharger-body-105-9-2,,,,,,,105.9,184.3,79.1,73.6,,,,,,,,,,,
nhtsa-dodge-ramcharger-body-105-9-3,,,,,,,105.9,184.6,79.5,70.1,,,,,,,,,,,
